Address,Latitude,Longitude,Neighborhood
"2421 Main St Pittsburgh, PA ",40.46458,-79.953733,Central Lawrenceville
"1820 Morningside Ave Pittsburgh, PA ",40.486866,-79.926532,Morningside
"80 S 12th St Pittsburgh, PA ",40.428266,-79.986383,South Side Flats
"2209 Saw Mill Run  Boulevard Pittsburgh, PA ",40.384054,-79.995424,Overbrook
"2319 Murray Ave Pittsburgh, PA ",40.432294,-79.923158,Squirrel Hill South
"7325 Frankstown Ave Pittsburgh, PA ",40.456927,-79.87791,East Hills
"5898 Wilkins & Shady  Avenue Pittsburgh, PA ",32.557727,-95.009179,
"2021 Braddock Avenue Pittsburgh, PA ",40.427226,-79.890789,Swisshelm Park
"307 Craig  Street Pittsburgh, PA ",39.78373,-100.445882,
"615 Grant Street Pittsburgh, PA ",40.436216,-79.99905,Downtown
"4924 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"1717 Cochran Road Pittsburgh, PA ",39.78373,-100.445882,
"411 Greenfield Ave Pittsburgh, PA ",40.425676,-79.943907,Greenfield
"203 Grant Avenue Pittsburgh, PA ",39.78373,-100.445882,
"3220 Library  Road Pittsburgh, PA ",40.3787,-80.002225,Overbrook
"1 Boggs  Avenue Pittsburgh, PA ",40.422351,-80.010161,Mount Washington
"5438 Butler Street Pittsburgh, PA ",40.48751,-79.918531,Morningside
"176 Curry Hollow Rd Pittsburgh, PA ",39.78373,-100.445882,
"197 Hazelwood Ave Pittsburgh, PA ",40.415289,-79.939239,Hazelwood
"641 North Avenue Pittsburgh, PA ",39.78373,-100.445882,
"4905 5th Ave Pittsburgh, PA ",40.454898,-79.911439,Larimer
"7404 McKnight  Road Pittsburgh, PA ",40.496065,-80.012221,Summer Hill
"113 Barnett Street Pittsburgh, PA ",39.78373,-100.445882,
"1039 Perry  Highway Pittsburgh, PA ",40.49831,-80.020311,Perry North
"801 E Carson St Pittsburgh, PA ",40.427444,-79.968377,South Side Flats
"1810 Belasco Avenue Pittsburgh, PA ",40.406494,-80.026437,Beechview
"7904 Frankstown Ave Pittsburgh, PA ",40.456927,-79.87791,East Hills
"1011 E Carson St Pittsburgh, PA ",40.428842,-79.988008,South Side Flats
"2856 Broadway  Avenue Pittsburgh, PA ",40.411092,-80.024311,Beechview
"225 Station Square Drive Pittsburgh, PA ",40.434957,-80.00761,South Shore
"612 Penn  Avenue Pittsburgh, PA ",40.44763,-79.896615,Point Breeze North
"3887 Bigelow  Boulevard Pittsburgh, PA ",40.445343,-79.989184,Crawford-Roberts
"200 Fingal Street Pittsburgh, PA ",40.437853,-80.027673,Duquesne Heights
"1000 Penn Avenue Pittsburgh, PA ",40.444166,-79.994832,Downtown
"2315 Wylie  Avenue Pittsburgh, PA ",40.44592,-79.976839,Middle Hill
"643 Wetzel  Road Pittsburgh, PA ",39.78373,-100.445882,
"720 Homewood  Avenue Pittsburgh, PA ",40.452349,-79.898844,Point Breeze North
"313 North Avenue Pittsburgh, PA ",39.78373,-100.445882,
"2401 E Carson St Pittsburgh, PA ",40.428382,-79.970745,South Side Flats
"2907 Brownsville  Road Pittsburgh, PA ",40.386932,-79.982947,Carrick
"27 Bailey Ave Pittsburgh, PA ",40.42691,-79.999949,Allentown
"154 Orchard Ave Pittsburgh, PA ",39.78373,-100.445882,
"121 Field Club Road Pittsburgh, PA ",39.78373,-100.445882,
"429 Forbes Avenue Pittsburgh, PA ",40.439105,-79.997896,Downtown
"1009 West View Park Drive Pittsburgh, PA ",39.78373,-100.445882,
"1402 Evergreen  Avenue Pittsburgh, PA ",39.78373,-100.445882,
"378 Freeport Road Pittsburgh, PA ",40.486644,-79.890687,Lincoln-Lemington-Belmar
"4207 Butler  Street Pittsburgh, PA ",40.48751,-79.918531,Morningside
"1100 Brownsville Rd Pittsburgh, PA ",40.386932,-79.982947,Carrick
"2001 Park Manor Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"1124 Freeport Road Pittsburgh, PA ",40.486644,-79.890687,Lincoln-Lemington-Belmar
"11507 Frankstown Rd Pittsburgh, PA ",40.459808,-79.873891,East Hills
"301 South Hills Village Pittsburgh, PA ",39.78373,-100.445882,
"100 Central Square Pittsburgh, PA ",39.78373,-100.445882,
"965 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
"5719 Bryant St Pittsburgh, PA ",40.476311,-79.920833,Highland Park
"534 Peebles  Street Pittsburgh, PA ",40.440525,-79.894505,Regent Square
"1920 Monongahela Avenue Pittsburgh, PA ",40.427209,-79.890949,Swisshelm Park
"1 Mariner  Court Pittsburgh, PA ",39.78373,-100.445882,
"3701 Alexis  Street Pittsburgh, PA ",40.425872,-79.947942,Greenfield
"971 Greentree Road Pittsburgh, PA ",40.435363,-80.033893,West End
"1720 Murray Ave Pittsburgh, PA ",40.432294,-79.923158,Squirrel Hill South
"1 Landings  Drive Pittsburgh, PA ",39.78373,-100.445882,
"2524 Sarah St Pittsburgh, PA ",40.427974,-79.98855,South Side Flats
"822 Western Avenue Pittsburgh, PA ",40.452349,-80.015069,Allegheny West
"917 Evergreen Avenue Pittsburgh, PA ",39.78373,-100.445882,
"2122 Monongahela Avenue Pittsburgh, PA ",40.427209,-79.890949,Swisshelm Park
"221 Sweetbriar Avenue Pittsburgh, PA ",39.78373,-100.445882,
"301 Grant Street Pittsburgh, PA ",40.438207,-79.99872,Downtown
"2900 Brownsville  Road Pittsburgh, PA ",40.386932,-79.982947,Carrick
"8130 Perry Hwy Pittsburgh, PA ",40.49831,-80.020311,Perry North
"509 Penn Ave Pittsburgh, PA ",40.44763,-79.896615,Point Breeze North
"278 Yost Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"116 S Highland Ave Pittsburgh, PA ",40.461015,-79.925496,East Liberty
"1207 Washington Road Pittsburgh, PA ",39.78373,-100.445882,
"7412 McKnight Road Pittsburgh, PA ",40.496065,-80.012221,Summer Hill
"814 Madison Ave Pittsburgh, PA ",40.455766,-79.997375,East Allegheny
"5701 5th  Avenue Pittsburgh, PA ",40.454898,-79.911439,Larimer
"13032 Frankstown  Road Pittsburgh, PA ",40.459808,-79.873891,East Hills
"4924 Baum Boulevard Pittsburgh, PA ",40.454629,-79.945402,Bloomfield
"1744 Chislett St Pittsburgh, PA ",40.471448,-79.930398,East Liberty
"4214 Steubenville Pike Pittsburgh, PA ",40.44048,-80.080523,Fairywood
"75 17th  Street Pittsburgh, PA ",40.449421,-79.985728,Strip District
"4800 2nd  Avenue Pittsburgh, PA ",39.78373,-100.445882,
"1731 Murray Ave Pittsburgh, PA ",40.432294,-79.923158,Squirrel Hill South
"307 Beverly  Road Pittsburgh, PA ",39.78373,-100.445882,
"503 Martindale Street Pittsburgh, PA ",40.4491,-80.009497,North Shore
"800 Vinial  Street Pittsburgh, PA ",40.457132,-79.991637,East Allegheny
"91 Fort Couch  Road Pittsburgh, PA ",39.78373,-100.445882,
"7601 Grand Ave Pittsburgh, PA ",40.474992,-80.025279,Marshall-Shadeland
"1980 Park Manor Blvd Pittsburgh, PA ",39.78373,-100.445882,
"527 Clairton  Boulevard Pittsburgh, PA ",39.78373,-100.445882,
"1 Wild  Place Pittsburgh, PA ",39.78373,-100.445882,
"530E Caste Village Shopping Center Pittsburgh, PA ",39.78373,-100.445882,
"5242 Baum  Boulevard Pittsburgh, PA ",40.454057,-79.949853,North Oakland
"2700 Custer Ave Pittsburgh, PA ",40.392551,-79.97917,Carrick
"2155 Wylie  Avenue Pittsburgh, PA ",40.44592,-79.976839,Middle Hill
"213 North Avenue Pittsburgh, PA ",39.78373,-100.445882,
"1506 5th Avenue Pittsburgh, PA ",40.454898,-79.911439,Larimer
"4757 Baum Boulevard Pittsburgh, PA ",40.454057,-79.949853,North Oakland
"535 Smithfield Street Pittsburgh, PA ",40.441347,-79.998075,Downtown
"2168 Centre Ave Pittsburgh, PA ",40.46015,-79.924354,East Liberty
"1209 Streets Run Rd Pittsburgh, PA ",40.372112,-79.944446,Hays
"908 Western Avenue Pittsburgh, PA ",40.450645,-80.023662,Chateau
"450 Lincoln Ave Pittsburgh, PA ",40.464496,-79.899624,Homewood West
"4615 Lorigan St Pittsburgh, PA ",40.459583,-79.953383,Bloomfield
"1839 Murray  Avenue Pittsburgh, PA ",40.436181,-79.922719,Squirrel Hill South
"433 Wood Street Pittsburgh, PA ",40.440355,-80.000916,Downtown
"5130 Clairton Blvd Pittsburgh, PA ",39.78373,-100.445882,
"821 Warrington  Avenue Pittsburgh, PA ",39.78373,-100.445882,
"2525 Freeport Road Pittsburgh, PA ",40.486644,-79.890687,Lincoln-Lemington-Belmar
"364 Freeport Road Pittsburgh, PA ",40.486644,-79.890687,Lincoln-Lemington-Belmar
"3716 Forbes  Avenue Pittsburgh, PA ",40.441429,-79.956992,Central Oakland
"429 4th  Avenue Pittsburgh, PA ",39.78373,-100.445882,
"1801 E Carson St Pittsburgh, PA ",40.428929,-79.980349,South Side Flats
"1719 Murray Ave Pittsburgh, PA ",40.437417,-79.922757,Squirrel Hill South
"25 Market Square Pittsburgh, PA ",40.440733,-80.002558,Downtown
"1644 Cochran Road Pittsburgh, PA ",39.78373,-100.445882,
"806 S Aiken St Pittsburgh, PA ",39.78373,-100.445882,
"4885 McKnight Road Pittsburgh, PA ",40.496065,-80.012221,Summer Hill
"5311 McAnnulty Rd Pittsburgh, PA ",39.78373,-100.445882,
"307 Shiloh Street Pittsburgh, PA ",40.429003,-80.007183,Mount Washington
"2895 West Liberty  Avenue Pittsburgh, PA ",40.413791,-80.009759,Beltzhoover
"5527 Walnut  Street Pittsburgh, PA ",40.451842,-79.931651,Shadyside
"2000 Smallman Street Pittsburgh, PA ",40.449673,-79.98788,Strip District
"435 McNeilly Road Pittsburgh, PA ",40.377898,-80.003803,Overbrook
"1130 Perry Highway Pittsburgh, PA ",40.49831,-80.020311,Perry North
"1144 Brownsville  Road Pittsburgh, PA ",40.386932,-79.982947,Carrick
"225 Station Square  Drive Pittsburgh, PA ",40.434957,-80.00761,South Shore
"2132 Forbes  Avenue Pittsburgh, PA ",40.439537,-79.899134,Regent Square
"1904 Penn Avenue Pittsburgh, PA ",40.44763,-79.896615,Point Breeze North
"1223 Woods Run Pittsburgh, PA ",40.47118,-80.021998,Perry South
"1212 Grandview Ave Pittsburgh, PA ",40.43155,-80.006613,Mount Washington
"614 Pressley Street Pittsburgh, PA ",40.451967,-79.999335,East Allegheny
"615 Main  Street Pittsburgh, PA ",40.46458,-79.953733,Central Lawrenceville
"719 Liberty Avenue Pittsburgh, PA ",40.458813,-79.943713,Bloomfield
